Metric,Q1_Mar2026,FY_Dec2025,Q4_Dec2025,Q3_Sep2025,Q2_Jun2025,Q1_Mar2025,FY_Dec2024,Q4_Dec2024,Q3_Sep2024,Q2_Jun2024,Q1_Mar2024,FY_Dec2023,Q4_Dec2023,Q3_Sep2023,Q2_Jun2023,Q1_Mar2023,FY_Dec2022,Q4_Dec2022,Q3_Sep2022,Q2_Jun2022
Total revenue,435.69M,1.55B,436.79M,387.89M,372.03M,355.6M,1.29B,364.88M,312.22M,311.19M,306.57M,1.12B,309.65M,278.81M,272.08M,264.43M,916.68M,263.71M,228.59M,220.62M
Operating revenue,435.69M,1.55B,436.79M,387.89M,372.03M,355.6M,1.29B,364.88M,312.22M,311.19M,306.57M,1.12B,309.65M,278.81M,272.08M,264.43M,916.68M,263.71M,228.59M,220.62M
Cost of revenue,279.86M,992.4M,275.23M,243.96M,242.76M,230.44M,823.52M,226.24M,191.45M,204.74M,201.09M,725.34M,195.27M,178.12M,179.73M,172.23M,591.13M,168.23M,148.86M,143.95M
Gross profit,155.83M,559.91M,161.55M,143.92M,129.27M,125.16M,471.35M,138.64M,120.78M,106.45M,105.48M,399.63M,114.38M,100.69M,92.36M,92.2M,325.55M,95.48M,79.73M,76.67M
Operating expense,81.1M,303.94M,78.36M,79.2M,75M,68.43M,251.64M,67.42M,62.14M,62.61M,59.47M,219.02M,56.73M,55.23M,55.5M,51.57M,191.61M,53.31M,50.64M,47.05M
Selling and administrative expenses,25.02M,99.66M,23.9M,24.88M,25.73M,22.2M,82.06M,22.05M,19.45M,20.77M,19.79M,67.31M,17.54M,15.63M,17.82M,16.31M,56.66M,16.8M,14.4M,14.03M
  General and administrative expense,25.02M,99.66M,23.9M,24.88M,25.73M,22.2M,82.06M,22.05M,19.45M,20.77M,19.79M,67.31M,17.54M,15.63M,17.82M,16.31M,56.66M,16.8M,14.4M,14.03M
Depreciation amortization depletion,56.08M,204.28M,54.46M,54.32M,49.27M,46.23M,169.59M,45.37M,42.69M,41.85M,39.68M,151.71M,39.18M,39.59M,37.68M,35.26M,134.94M,36.51M,36.24M,33.02M
  Depreciation and amortization,56.08M,204.28M,54.46M,54.32M,49.27M,46.23M,169.59M,45.37M,42.69M,41.85M,39.68M,151.71M,39.18M,39.59M,37.68M,35.26M,134.94M,36.51M,36.24M,33.02M
Operating profit,74.73M,255.96M,83.19M,64.73M,54.27M,56.73M,219.71M,71.22M,58.64M,43.84M,46.01M,180.61M,57.66M,45.47M,36.86M,40.63M,133.95M,42.17M,29.09M,29.62M
Net non-operating interest income (expenses),-7.13M,-22.05M,-10.41M,-8.24M,1.87M,-5.27M,-21.66M,-3.25M,-7.22M,-6.26M,-4.93M,-18.71M,-5.27M,-4.95M,-4.17M,-4.32M,-9.37M,-6.36M,-1.62M,181K
Non-operating interest income,2.68M,--,--,939K,8.44M,918K,3.01M,1.48M,433K,551K,539K,--,--,--,78K,--,6.02M,597K,1.62M,2.7M
Non-operating interest expense,8.46M,28.68M,9.74M,7.82M,5.75M,5.37M,23.23M,5.77M,6.46M,6.27M,4.74M,16.63M,4.49M,4.64M,4M,3.5M,12.63M,4.9M,3.05M,2.18M
Total other finance cost,1.35M,-6.62M,-9.62M,1.35M,826K,819K,-1.57M,-4.04M,1.19M,539K,736K,2.08M,778K,311K,250K,817K,2.76M,2.06M,192K,346K
Other net income (expenses),-3.21M,-125.68M,13.66M,-166.4M,-4.45M,28.55M,-14.57M,-1.04M,-4.61M,-4.24M,-4.68M,-17.14M,-5.39M,-3.66M,-1.24M,-6.85M,-20.17M,-6.89M,-3.8M,-4.89M
Gain on sale of security,-5.27M,-131.96M,-9.21M,-160.65M,793K,37.11M,-1.25M,-1.18M,401K,-403K,-67K,-1.86M,-467K,-360K,-398K,-632K,-286K,258K,-81K,-307K
Special income (charges),0,29.73M,29.58M,-7K,154K,0,-100K,210K,0,0,-310K,0,0,0,0,0,--,--,--,--
  Less:Restructuring and mergern&acquisition,--,-154K,0,0,-154K,0,-517K,-194K,0,0,-323K,0,0,0,0,0,--,--,--,--
  Less:Impairment of capital assets,0,533K,526K,7K,0,0,617K,-16K,0,0,633K,0,0,0,0,0,--,--,--,--
  Gain on sale of business,--,30.11M,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--
Other non-operating income (expenses),-7.03M,-22.37M,-6.1M,-5.24M,-5.4M,-8.58M,-13.43M,-54K,-5.01M,-4.06M,-4.31M,-15.42M,-4.94M,-3.3M,-964K,-6.21M,-20.46M,-7.56M,-3.72M,-4.76M
Income before tax,64.4M,108.23M,86.44M,-109.91M,51.69M,80.01M,183.47M,66.93M,46.81M,33.34M,36.4M,144.77M,47M,36.86M,31.45M,29.47M,104.42M,28.92M,23.67M,24.9M
Income tax,9.33M,38.17M,7.06M,11.04M,10.2M,9.88M,34M,10.74M,8.78M,6.41M,8.09M,29.34M,4.49M,8.51M,7.99M,8.34M,16.81M,194K,5.25M,4.81M
Net income,55.06M,70.06M,79.39M,-120.94M,41.48M,70.13M,149.47M,56.19M,38.03M,26.94M,28.31M,115.43M,42.5M,28.35M,23.45M,21.13M,87.61M,28.73M,18.42M,20.1M
Net income continuous operations,55.06M,70.06M,79.39M,-120.94M,41.48M,70.13M,149.47M,56.19M,38.03M,26.94M,28.31M,115.43M,42.5M,28.35M,23.45M,21.13M,87.61M,28.73M,18.42M,20.1M
Noncontrolling interests,20.85M,28.3M,30.11M,-42.75M,15.63M,25.32M,57.48M,22.64M,14.69M,9.92M,10.23M,43.67M,17.2M,10.36M,8.88M,7.23M,34.68M,11.73M,6.59M,7.57M
Net income attributable to the company,34.21M,41.76M,49.28M,-78.19M,25.86M,44.81M,91.99M,33.55M,23.34M,17.02M,18.09M,71.75M,25.3M,17.98M,14.57M,13.9M,52.93M,17M,11.83M,12.53M
Net income attributable to common stockholders,34.21M,41.76M,49.28M,-78.19M,25.86M,44.81M,91.99M,33.55M,23.34M,17.02M,18.09M,71.75M,25.3M,17.98M,14.57M,13.9M,52.93M,17M,11.83M,12.53M
Diluted earnings per share,0.41,0.5,0.59,-0.94,0.31,0.54,1.11,0.4,0.28,0.21,0.22,0.88,0.31,0.22,0.18,0.17,0.66,0.21,0.15,0.16
Basic earnings per share,0.41,0.5,0.59,-0.94,0.31,0.54,1.11,0.4,0.28,0.21,0.22,0.88,0.31,0.22,0.18,0.17,0.66,0.21,0.15,0.16
